region,equidsNumberExport
AG,0
AI,5
AR,0
BE,32
BL,0
BS,0
FL,0
FR,0
GE,0
GL,0
GR,0
JU,17
LU,5
NE,0
NW,0
OW,0
SG,0
SH,0
SO,0
SZ,0
TG,0
TI,0
VD,13
VS,0
ZG,0
ZH,0
CH,891
