Year,Month,AG,AI,AR,BE,BL,BS,FL,FR,GE,GL,GR,JU,LU,NE,NW,OW,SG,SH,SO,SZ,TG,TI,VD,VS,ZG,ZH,??
2019,2,0.0,0.0,0.0,,,0.0,0.0,6.0,,0.0,0.0,,,0.0,0.0,0.0,,,,0.0,,0.0,9.0,,0.0,,26
2019,3,7.0,0.0,0.0,,0.0,0.0,0.0,,8.0,0.0,,,,0.0,0.0,0.0,,0.0,,,,,,0.0,,,20
2019,4,,0.0,0.0,11.0,,0.0,0.0,5.0,,0.0,,6.0,6.0,,0.0,0.0,,0.0,,0.0,5.0,7.0,10.0,,,,27
2019,5,,0.0,0.0,13.0,,0.0,,5.0,,0.0,,5.0,,0.0,0.0,0.0,,,5.0,,,0.0,8.0,,0.0,6.0,33
2019,6,5.0,0.0,0.0,8.0,0.0,0.0,,8.0,,0.0,0.0,7.0,,,0.0,0.0,0.0,0.0,,,,0.0,7.0,15.0,0.0,,46
2019,7,5.0,0.0,0.0,7.0,,0.0,,,,0.0,,,,,0.0,0.0,,,,,5.0,,10.0,0.0,0.0,10.0,21
2019,8,9.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,,12.0,,0.0,0.0,0.0,,0.0,,,6.0,0.0,7.0,,,6.0,16
2019,9,,0.0,0.0,10.0,0.0,0.0,0.0,11.0,,0.0,0.0,10.0,7.0,,0.0,0.0,0.0,0.0,,,,0.0,,,0.0,12.0,27
2019,10,,0.0,,19.0,,0.0,0.0,7.0,,0.0,0.0,28.0,8.0,0.0,0.0,0.0,,,6.0,,,,12.0,,,12.0,44
2019,11,8.0,0.0,,25.0,,0.0,,13.0,,0.0,,20.0,5.0,,,0.0,,0.0,,0.0,0.0,,,,,6.0,40
2019,12,7.0,0.0,0.0,13.0,0.0,0.0,,8.0,,0.0,13.0,20.0,10.0,,0.0,0.0,,0.0,,,7.0,0.0,85.0,10.0,,,29
2020,1,,0.0,0.0,17.0,0.0,0.0,0.0,,,0.0,0.0,6.0,,,0.0,0.0,,0.0,,0.0,6.0,0.0,,0.0,,,36
2020,2,,0.0,,9.0,0.0,0.0,0.0,,,0.0,,,0.0,,0.0,0.0,,0.0,0.0,0.0,,,10.0,,0.0,,22
2020,3,,0.0,0.0,8.0,,0.0,0.0,6.0,7.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,,0.0,6.0,0.0,9.0,0.0,,,,13.0,24
2020,4,,0.0,0.0,,,0.0,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,6
2020,5,,0.0,0.0,5.0,,0.0,,,,,,6.0,,0.0,0.0,0.0,,0.0,,,,,,,,10.0,27
2020,6,0.0,,0.0,7.0,,0.0,0.0,,,0.0,0.0,14.0,,0.0,0.0,,,0.0,,0.0,,,8.0,,0.0,8.0,27
2020,7,,0.0,0.0,16.0,0.0,0.0,0.0,,,0.0,0.0,14.0,,,0.0,0.0,,,,0.0,,,9.0,,0.0,9.0,30
2020,8,6.0,0.0,0.0,16.0,,0.0,0.0,0.0,,,,7.0,,0.0,,0.0,,0.0,,0.0,6.0,0.0,10.0,0.0,,11.0,28
2020,9,8.0,0.0,0.0,14.0,0.0,0.0,0.0,7.0,8.0,0.0,0.0,18.0,,,0.0,0.0,,0.0,,0.0,5.0,,,,0.0,9.0,29
2020,10,12.0,0.0,,45.0,,0.0,0.0,18.0,6.0,0.0,7.0,38.0,14.0,10.0,0.0,0.0,,0.0,6.0,0.0,6.0,,10.0,9.0,,10.0,60
2020,11,5.0,0.0,0.0,39.0,,0.0,0.0,13.0,,0.0,,29.0,,,0.0,0.0,,0.0,5.0,,,,10.0,,,9.0,30
2020,12,6.0,0.0,0.0,9.0,,0.0,,6.0,5.0,0.0,0.0,22.0,,,0.0,0.0,,0.0,0.0,0.0,,,,10.0,0.0,5.0,28
2021,1,7.0,0.0,0.0,7.0,,0.0,0.0,,11.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,,0.0,,0.0,5.0,,,5.0,26
2021,2,,0.0,0.0,11.0,0.0,0.0,0.0,,5.0,0.0,0.0,10.0,8.0,0.0,0.0,0.0,,0.0,,0.0,,,,,0.0,6.0,25
2021,3,,0.0,0.0,13.0,,0.0,0.0,,6.0,0.0,,,,,0.0,0.0,0.0,0.0,5.0,0.0,0.0,,7.0,5.0,0.0,5.0,18
2021,4,,0.0,0.0,7.0,0.0,0.0,0.0,,,0.0,0.0,19.0,,,0.0,0.0,,0.0,0.0,,,,,,0.0,7.0,21
2021,5,,0.0,0.0,7.0,,0.0,0.0,,,0.0,0.0,16.0,5.0,0.0,0.0,0.0,,,,0.0,,0.0,,,0.0,10.0,27
2021,6,5.0,0.0,0.0,12.0,,0.0,0.0,8.0,6.0,0.0,,8.0,5.0,0.0,0.0,0.0,,0.0,5.0,0.0,,,17.0,,0.0,,23
2021,7,,0.0,0.0,8.0,0.0,0.0,0.0,,,0.0,0.0,18.0,,0.0,0.0,0.0,,,,0.0,6.0,0.0,13.0,0.0,0.0,8.0,7
2021,8,22.0,0.0,0.0,12.0,,0.0,0.0,,5.0,0.0,,7.0,0.0,0.0,0.0,0.0,,0.0,,0.0,7.0,,5.0,,0.0,7.0,30
2021,9,7.0,0.0,0.0,8.0,,0.0,,10.0,,0.0,0.0,9.0,6.0,,0.0,0.0,,0.0,,,,,7.0,0.0,,12.0,48
2021,10,15.0,0.0,,36.0,0.0,0.0,,8.0,,0.0,,50.0,11.0,,0.0,0.0,5.0,0.0,8.0,0.0,,6.0,7.0,,,11.0,48
2021,11,5.0,0.0,0.0,27.0,,0.0,,5.0,6.0,0.0,,37.0,9.0,,0.0,0.0,,0.0,9.0,0.0,,6.0,16.0,11.0,0.0,9.0,43
2021,12,,0.0,,7.0,0.0,0.0,0.0,,7.0,0.0,,14.0,,0.0,0.0,0.0,,0.0,,0.0,,,,0.0,,8.0,41
2022,1,,,0.0,5.0,0.0,0.0,0.0,6.0,,0.0,,7.0,,0.0,0.0,0.0,,0.0,5.0,0.0,6.0,,,0.0,,10.0,24
2022,2,,0.0,,5.0,0.0,0.0,0.0,,5.0,0.0,0.0,,,,0.0,0.0,,0.0,5.0,0.0,,,,9.0,,8.0,11
2022,3,5.0,0.0,0.0,30.0,0.0,0.0,,,0.0,0.0,0.0,5.0,,,0.0,0.0,0.0,,0.0,,6.0,,9.0,0.0,,7.0,16
2022,4,,0.0,0.0,7.0,,0.0,0.0,,,0.0,,13.0,,0.0,0.0,0.0,,0.0,,,10.0,,,0.0,0.0,8.0,16
2022,5,,0.0,0.0,,,0.0,0.0,,,0.0,,,,0.0,0.0,0.0,,0.0,,0.0,,,,0.0,0.0,6.0,21
2022,6,7.0,0.0,0.0,,,0.0,0.0,,,0.0,,14.0,,0.0,0.0,0.0,7.0,,,0.0,,,,,,11.0,15
2022,7,13.0,0.0,0.0,,,0.0,0.0,,,0.0,0.0,10.0,,,0.0,0.0,,0.0,,0.0,,,,,0.0,6.0,9
2022,8,,0.0,0.0,9.0,6.0,0.0,0.0,,,0.0,,10.0,,,0.0,0.0,,0.0,,,6.0,,0.0,0.0,0.0,5.0,14
2022,9,,0.0,0.0,6.0,,0.0,,,,0.0,6.0,,,0.0,0.0,0.0,,,10.0,0.0,,7.0,7.0,,0.0,12.0,13
2022,10,9.0,0.0,0.0,38.0,,0.0,0.0,17.0,,0.0,,35.0,5.0,,0.0,0.0,,0.0,9.0,0.0,,11.0,5.0,,0.0,5.0,34
2022,11,18.0,,,14.0,,0.0,,,,0.0,,20.0,6.0,,0.0,0.0,,,6.0,0.0,5.0,,6.0,5.0,0.0,10.0,15
