region,total,onePersonHousehold,twoPersonHousehold,threePersonHousehold,fourPersonHousehold,fivePersonHousehold,sixMorePersonHousehold,averageSizeHousehold
AG,284235,89260,100581,38197,38883,12612,4702,2.30
AI,6307,1903,2035,773,853,539,204,2.49
AR,23441,7790,7966,3009,2904,1223,549,2.30
BE,463184,168434,161249,55270,53261,18005,6965,2.17
BL,126029,41107,45628,16837,16012,4879,1566,2.23
BS,96378,45242,28235,10751,8348,2750,1052,1.95
FR,126351,37985,39892,19065,19970,6985,2454,2.42
GE,197492,74533,50325,29701,25834,10231,6868,2.36
GL,17614,6122,5886,2293,2323,719,271,2.24
GR,90136,34171,29273,11293,10802,3536,1061,2.16
JU,31143,10588,9950,4119,4221,1669,596,2.31
LU,172115,57433,57853,21661,23280,8582,3306,2.30
NE,80867,31227,24669,10656,10252,3073,990,2.17
NW,18542,5991,6732,2328,2405,812,274,2.26
OW,15675,5007,5235,2044,2254,798,337,2.35
SG,215902,73562,71676,27184,28077,10866,4537,2.29
SH,36487,13341,12501,4432,4207,1446,560,2.17
SO,118616,39972,41828,15512,14429,4963,1912,2.24
SZ,66023,20861,22894,8765,9006,3256,1241,2.32
TG,116060,37366,40227,15316,15439,5470,2242,2.30
TI,162123,62608,48744,23927,19644,5635,1565,2.15
UR,14981,4583,5278,1804,2151,871,294,2.36
VD,339882,122484,101926,49150,46006,14703,5613,2.26
VS,145807,50527,45792,20668,19677,6719,2424,2.28
ZG,52998,16899,18222,7217,7509,2431,720,2.30
ZH,664087,241174,219753,86389,81111,25626,10034,2.20
CH,3682475,1300170,1204350,488361,468858,158399,62337,2.24
