region,total,onePersonHousehold,twoPersonHousehold,threePersonHousehold,fourPersonHousehold,fivePersonHousehold,sixMorePersonHousehold,averageSizeHousehold
AG,297256,95954,104904,39073,39627,12868,4830,2.28
AI,6508,2002,2165,796,856,512,177,2.43
AR,24008,8173,8245,2916,2952,1207,515,2.27
BE,474607,175410,165937,55210,53547,17879,6624,2.15
BL,128744,42960,46310,16734,16408,4831,1501,2.22
BS,97490,46164,28094,10866,8654,2700,1012,1.95
FR,133515,42073,42347,19732,20208,6788,2367,2.37
GE,202628,73391,53562,31700,27070,10398,6507,2.37
GL,18064,6441,6087,2259,2290,737,250,2.20
GR,92439,35846,30405,11150,10718,3369,951,2.12
JU,32392,11675,10300,4208,4132,1582,495,2.24
LU,179274,61091,60968,22157,23555,8487,3016,2.26
NE,81535,32661,24476,10713,9871,2917,897,2.13
NW,19112,6265,7076,2366,2412,762,231,2.22
OW,16192,5241,5579,2007,2287,779,299,2.31
SG,222993,78105,74376,27401,28086,10747,4278,2.25
SH,37719,14169,12830,4501,4277,1410,532,2.15
SO,122863,42551,43444,15417,14707,4908,1836,2.21
SZ,69332,22635,24234,9077,9066,3188,1132,2.28
TG,121701,40265,42531,15535,15858,5376,2136,2.27
TI,163671,65304,48967,23634,19028,5286,1452,2.11
UR,15499,4900,5524,1874,2100,825,276,2.31
VD,354496,130894,105708,51349,47135,14471,4939,2.23
VS,152632,55328,48375,20759,19530,6444,2196,2.22
ZG,54949,17720,18733,7575,7790,2446,685,2.29
ZH,691687,254226,227433,89033,85270,26014,9711,2.18
CH,3811306,1371444,1248610,498042,477434,156931,58845,2.21
