region,total,onePersonHousehold,twoPersonHousehold,threePersonHousehold,fourPersonHousehold,fivePersonHousehold,sixMorePersonHousehold,averageSizeHousehold
AG,302769,0.0704,0.0841,0.0787,0.0834,0.083,0.0839,2.27
AI,6666,0.0015,0.0018,0.0015,0.0018,0.0032,0.003,2.4
AR,24263,0.006,0.0066,0.0058,0.0061,0.0076,0.0085,2.24
BE,481515,0.1284,0.1331,0.1097,0.1113,0.1129,0.1085,2.13
BL,130322,0.0313,0.0368,0.0335,0.0344,0.0308,0.0255,2.2
BS,97731,0.033,0.0221,0.0216,0.0181,0.0175,0.0178,1.94
FR,136473,0.0312,0.0343,0.04,0.042,0.0432,0.041,2.34
GE,205262,0.0535,0.0429,0.0641,0.0567,0.0659,0.1063,2.34
GL,18245,0.0046,0.0049,0.0046,0.0047,0.0047,0.0044,2.19
GR,93642,0.0259,0.0246,0.0221,0.0224,0.0213,0.0163,2.11
JU,32814,0.0086,0.0082,0.0084,0.0086,0.0098,0.0084,2.21
LU,182067,0.0444,0.0492,0.0448,0.0489,0.0544,0.0512,2.25
NE,82015,0.0237,0.0193,0.0213,0.0203,0.0182,0.0156,2.11
NW,19401,0.0046,0.0056,0.0049,0.005,0.0049,0.0038,2.21
OW,16402,0.0038,0.0045,0.004,0.0047,0.0049,0.0051,2.29
SG,226234,0.057,0.0596,0.0549,0.0586,0.0691,0.0743,2.24
SH,38258,0.0103,0.0103,0.009,0.009,0.0088,0.0095,2.13
SO,124736,0.0311,0.0348,0.0305,0.0313,0.0309,0.0321,2.19
SZ,70613,0.0165,0.0195,0.0183,0.0193,0.0201,0.0192,2.26
TG,123854,0.0294,0.0342,0.031,0.0334,0.0347,0.0372,2.26
TI,164895,0.0475,0.0388,0.0466,0.0394,0.0333,0.025,2.1
UR,15741,0.0036,0.0045,0.0037,0.0043,0.0052,0.0048,2.29
VD,360928,0.0959,0.0846,0.1037,0.099,0.0927,0.0859,2.21
VS,155692,0.0408,0.039,0.0417,0.0408,0.0407,0.0366,2.2
ZG,55599,0.0128,0.015,0.0154,0.0164,0.0156,0.011,2.28
ZH,701253,0.1843,0.1816,0.1801,0.18,0.1668,0.165,2.18
CH,3867390,1408288.0,1268080.0,499492.0,479163.0,155404.0,56963.0,2.2
