region,total,onePersonHousehold,twoPersonHousehold,threePersonHousehold,fourPersonHousehold,fivePersonHousehold,sixMorePersonHousehold,averageSizeHousehold
AG,292608,0.0696,0.0841,0.0784,0.0828,0.0811,0.0787,2.29
AI,6463,0.0015,0.0017,0.0016,0.0019,0.0033,0.0031,2.46
AR,23767,0.006,0.0067,0.0058,0.0062,0.0078,0.0087,2.29
BE,469733,0.1282,0.1331,0.1117,0.113,0.1133,0.1134,2.16
BL,127664,0.0315,0.0374,0.0338,0.0344,0.0304,0.0252,2.22
BS,96431,0.0336,0.0227,0.0223,0.0179,0.0175,0.0187,1.96
FR,130758,0.03,0.0337,0.0392,0.0424,0.0439,0.0399,2.39
GE,200190,0.0542,0.0425,0.0629,0.0566,0.0661,0.1092,2.38
GL,17921,0.0047,0.0049,0.0047,0.0048,0.0047,0.004,2.21
GR,91447,0.0262,0.0243,0.0225,0.0226,0.0218,0.0169,2.13
JU,31985,0.0084,0.0083,0.0084,0.0088,0.0102,0.0084,2.26
LU,176401,0.0443,0.0486,0.0443,0.0493,0.0539,0.052,2.28
NE,81046,0.024,0.0198,0.0216,0.0209,0.0187,0.016,2.14
NW,19022,0.0046,0.0057,0.0049,0.0051,0.0051,0.004,2.24
OW,16025,0.0038,0.0045,0.004,0.0048,0.0049,0.0055,2.33
SG,220280,0.0569,0.0596,0.0552,0.059,0.0687,0.0719,2.27
SH,37252,0.0103,0.0102,0.0091,0.0089,0.0091,0.0096,2.16
SO,121266,0.031,0.0347,0.0311,0.0309,0.031,0.031,2.22
SZ,68181,0.0164,0.0192,0.0182,0.0191,0.0204,0.0195,2.29
TG,119717,0.0292,0.0339,0.0311,0.0333,0.0341,0.0355,2.28
TI,163485,0.0481,0.0399,0.0478,0.0405,0.0342,0.0246,2.13
UR,15307,0.0036,0.0044,0.0037,0.0045,0.0054,0.0045,2.33
VD,349758,0.0954,0.0848,0.1022,0.0984,0.0931,0.0854,2.24
VS,150387,0.0401,0.0384,0.0419,0.0413,0.0416,0.039,2.24
ZG,54467,0.0131,0.0151,0.015,0.0163,0.0158,0.0111,2.29
ZH,680791,0.1853,0.1818,0.1785,0.1766,0.1641,0.1641,2.19
CH,3762352,1340644.0,1231181.0,495855.0,475512.0,158500.0,60660.0,2.23
