region,total,onePersonHousehold,twoPersonHousehold,threePersonHousehold,fourPersonHousehold,fivePersonHousehold,sixMorePersonHousehold,averageSizeHousehold
AG,288465,91182,102123,38625,39076,12723,4736,2.29
AI,6400,1946,2071,797,866,516,204,2.47
AR,23627,7869,8097,2959,2926,1242,534,2.30
BE,467025,170655,162594,55205,53683,17995,6893,2.16
BL,126966,41830,45602,16896,16268,4826,1544,2.23
BS,96276,44949,28135,10813,8479,2788,1112,1.96
FR,128443,38916,40657,19401,20119,6948,2402,2.41
GE,200082,74398,51450,30645,26597,10390,6602,2.36
GL,17817,6225,6003,2304,2307,720,258,2.22
GR,90936,34871,29579,11117,10838,3490,1041,2.14
JU,31660,11050,10157,4102,4171,1642,538,2.27
LU,174242,58397,58844,21809,23382,8580,3230,2.29
NE,80923,31620,24454,10637,10223,2993,996,2.16
NW,18809,6098,6834,2399,2402,819,257,2.25
OW,15905,5133,5383,2019,2254,785,331,2.33
SG,218057,75072,72390,27161,28074,10872,4488,2.28
SH,36796,13580,12473,4493,4209,1467,574,2.17
SO,119950,40807,42300,15459,14549,4923,1912,2.23
SZ,66978,21389,23198,8939,8976,3281,1195,2.31
TG,118119,38433,41082,15436,15549,5423,2196,2.29
TI,162553,63366,48880,23790,19464,5486,1567,2.14
UR,15118,4666,5321,1835,2139,871,286,2.35
VD,344627,124624,103257,49988,46551,14708,5499,2.25
VS,148173,52062,46601,20836,19786,6556,2332,2.26
ZG,53689,17179,18323,7362,7675,2466,684,2.30
ZH,671443,243913,221486,87498,82451,25979,10116,2.20
CH,3723079,1320230,1217294,492525,473014,158489,61527,2.23
