region,total,onePersonHousehold,twoPersonHousehold,threePersonHousehold,fourPersonHousehold,fivePersonHousehold,sixMorePersonHousehold,averageSizeHousehold
AG,302769,99099,106705,39312,39976,12898,4779,2.27
AI,6666,2048,2314,773,870,491,170,2.40
AR,24263,8468,8327,2873,2932,1177,486,2.24
BE,481515,180824,168826,54802,53330,17550,6183,2.13
BL,130322,44141,46696,16741,16501,4788,1455,2.20
BS,97731,46476,28082,10773,8674,2714,1012,1.94
FR,136473,43876,43446,19967,20140,6708,2336,2.34
GE,205262,75358,54426,32018,27167,10237,6056,2.34
GL,18245,6514,6220,2284,2245,733,249,2.19
GR,93642,36483,31187,11017,10718,3307,930,2.11
JU,32814,12076,10443,4186,4105,1524,480,2.21
LU,182067,62554,62330,22384,23436,8448,2915,2.25
NE,82015,33387,24520,10657,9734,2829,888,2.11
NW,19401,6412,7155,2461,2400,758,215,2.21
OW,16402,5353,5715,2010,2263,769,292,2.29
SG,226234,80223,75524,27424,28088,10742,4233,2.24
SH,38258,14546,13001,4484,4322,1366,539,2.13
SO,124736,43737,44127,15255,14989,4801,1827,2.19
SZ,70613,23297,24692,9162,9248,3119,1095,2.26
TG,123854,41414,43421,15502,16004,5395,2118,2.26
TI,164895,66863,49254,23288,18891,5174,1425,2.10
UR,15741,5084,5655,1852,2067,808,275,2.29
VD,360928,135120,107272,51818,47421,14405,4892,2.21
VS,155692,57409,49496,20828,19556,6318,2085,2.20
ZG,55599,18012,19012,7681,7842,2425,627,2.28
ZH,701253,259514,230234,89940,86244,25920,9401,2.18
CH,3867390,1408288,1268080,499492,479163,155404,56963,2.20
