region,total,onePersonHousehold,twoPersonHousehold,threePersonHousehold,fourPersonHousehold,fivePersonHousehold,sixMorePersonHousehold,averageSizeHousehold
AG,284235,0.0687,0.0835,0.0782,0.0829,0.0796,0.0754,2.3
AI,6307,0.0015,0.0017,0.0016,0.0018,0.0034,0.0033,2.49
AR,23441,0.006,0.0066,0.0062,0.0062,0.0077,0.0088,2.3
BE,463184,0.1295,0.1339,0.1132,0.1136,0.1137,0.1117,2.17
BL,126029,0.0316,0.0379,0.0345,0.0342,0.0308,0.0251,2.23
BS,96378,0.0348,0.0234,0.022,0.0178,0.0174,0.0169,1.95
FR,126351,0.0292,0.0331,0.039,0.0426,0.0441,0.0394,2.42
GE,197492,0.0573,0.0418,0.0608,0.0551,0.0646,0.1102,2.36
GL,17614,0.0047,0.0049,0.0047,0.005,0.0045,0.0043,2.24
GR,90136,0.0263,0.0243,0.0231,0.023,0.0223,0.017,2.16
JU,31143,0.0081,0.0083,0.0084,0.009,0.0105,0.0096,2.31
LU,172115,0.0442,0.048,0.0444,0.0497,0.0542,0.053,2.3
NE,80867,0.024,0.0205,0.0218,0.0219,0.0194,0.0159,2.17
NW,18542,0.0046,0.0056,0.0048,0.0051,0.0051,0.0044,2.26
OW,15675,0.0039,0.0043,0.0042,0.0048,0.005,0.0054,2.35
SG,215902,0.0566,0.0595,0.0557,0.0599,0.0686,0.0728,2.29
SH,36487,0.0103,0.0104,0.0091,0.009,0.0091,0.009,2.17
SO,118616,0.0307,0.0347,0.0318,0.0308,0.0313,0.0307,2.24
SZ,66023,0.016,0.019,0.0179,0.0192,0.0206,0.0199,2.32
TG,116060,0.0287,0.0334,0.0314,0.0329,0.0345,0.036,2.3
TI,162123,0.0482,0.0405,0.049,0.0419,0.0356,0.0251,2.15
UR,14981,0.0035,0.0044,0.0037,0.0046,0.0055,0.0047,2.36
VD,339882,0.0942,0.0846,0.1006,0.0981,0.0928,0.09,2.26
VS,145807,0.0389,0.038,0.0423,0.042,0.0424,0.0389,2.28
ZG,52998,0.013,0.0151,0.0148,0.016,0.0153,0.0116,2.3
ZH,664087,0.1855,0.1825,0.1769,0.173,0.1618,0.161,2.2
CH,3682475,1300170.0,1204350.0,488361.0,468858.0,158399.0,62337.0,2.24
